program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
fastp,gen_n1000000_l36_merged.fq,1000000,36,999918,1000000,-82,551,32700,966749,-0.008,0.055,3.27,96.675,33251,
fastp,gen_n1000000_l37_merged.fq,1000000,37,999921,1000000,-79,413,33316,966271,-0.008,0.041,3.332,96.627,33729,
fastp,gen_n1000000_l38_merged.fq,1000000,38,999917,1000000,-83,447,34747,964806,-0.008,0.045,3.475,96.481,35194,
fastp,gen_n1000000_l39_merged.fq,1000000,39,999919,1000000,-81,365,35450,964185,-0.008,0.036,3.545,96.418,35815,
fastp,gen_n1000000_l3_merged.fq,1000000,3,999926,0,999926,0,0,0,99.993,0.0,0.0,0.0,0,
fastp,gen_n1000000_l40_merged.fq,1000000,40,999920,1000000,-80,328,36243,963429,-0.008,0.033,3.624,96.343,36571,
fastp,gen_n1000000_l41_merged.fq,1000000,41,999900,1000000,-100,311,37203,962486,-0.01,0.031,3.72,96.249,37514,
fastp,gen_n1000000_l42_merged.fq,1000000,42,999906,1000000,-94,237,38358,961405,-0.009,0.024,3.836,96.14,38595,
fastp,gen_n1000000_l43_merged.fq,1000000,43,999921,1000000,-79,243,39173,960584,-0.008,0.024,3.917,96.058,39416,
fastp,gen_n1000000_l44_merged.fq,1000000,44,999910,1000000,-90,234,39771,959995,-0.009,0.023,3.977,95.999,40005,
fastp,gen_n1000000_l45_merged.fq,1000000,45,999912,1000000,-88,185,41384,958431,-0.009,0.018,4.138,95.843,41569,
fastp,gen_n1000000_l46_merged.fq,1000000,46,999923,1000000,-77,190,41685,958125,-0.008,0.019,4.168,95.812,41875,
fastp,gen_n1000000_l47_merged.fq,1000000,47,999928,1000000,-72,202,43033,956765,-0.007,0.02,4.303,95.677,43235,
fastp,gen_n1000000_l48_merged.fq,1000000,48,999923,1000000,-77,298,44077,955625,-0.008,0.03,4.408,95.562,44375,
fastp,gen_n1000000_l49_merged.fq,1000000,49,999925,1000000,-75,380,45113,954507,-0.007,0.038,4.511,95.451,45493,
fastp,gen_n1000000_l4_merged.fq,1000000,4,999896,0,999896,0,0,0,99.99,0.0,0.0,0.0,0,
fastp,gen_n1000000_l50_merged.fq,1000000,50,999927,1000000,-73,622,46127,953251,-0.007,0.062,4.613,95.325,46749,
fastp,gen_n1000000_l51_merged.fq,1000000,51,999919,1000000,-81,609,46621,952770,-0.008,0.061,4.662,95.277,47230,
