program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length_reads,divergent_reads,average_divergence,dropped_reads_percentage,incorrect_length_percentage,divergent_reads_percentage,average_divergence_percentage,perfectly_reconstructed,perfectly_reconstructed_percentage
bbmerge,gen_n1000000_l125_se_bb.fq.gz,1000000,125,1000000,989029,10971,0,39526,0.040663115035049525,1.097,0.0,3.996,0.033,949503,94.95
bbmerge,gen_n1000000_l126_se_bb.fq.gz,1000000,126,1000000,986190,13810,0,41726,0.043110353988582324,1.381,0.0,4.231,0.034,944464,94.446
bbmerge,gen_n1000000_l127_se_bb.fq.gz,1000000,127,1000000,985419,14581,0,44049,0.04554610779779972,1.458,0.0,4.47,0.036,941370,94.137
bbmerge,gen_n1000000_l128_se_bb.fq.gz,1000000,128,1000000,985399,14601,0,46093,0.047728889515820494,1.46,0.0,4.678,0.037,939306,93.931
bbmerge,gen_n1000000_l129_se_bb.fq.gz,1000000,129,1000000,985084,14916,0,49134,0.051035241664670224,1.492,0.0,4.988,0.04,935950,93.595
bbmerge,gen_n1000000_l12_se_bb.fq.gz,1000000,12,1000000,864977,135023,0,10,1.1561001043958394e-05,13.502,0.0,0.001,0.0,864967,86.497
bbmerge,gen_n1000000_l130_se_bb.fq.gz,1000000,130,1000000,984967,15033,0,52348,0.05452466935440477,1.503,0.0,5.315,0.042,932619,93.262
bbmerge,gen_n1000000_l131_se_bb.fq.gz,1000000,131,1000000,983703,16297,0,54932,0.057326245828263206,1.63,0.0,5.584,0.044,928771,92.877
bbmerge,gen_n1000000_l132_se_bb.fq.gz,1000000,132,1000000,982967,17033,0,57103,0.05972224906838175,1.703,0.0,5.809,0.045,925864,92.586
bbmerge,gen_n1000000_l133_se_bb.fq.gz,1000000,133,1000000,982616,17384,0,59052,0.06181662012423979,1.738,0.0,6.01,0.046,923564,92.356
bbmerge,gen_n1000000_l134_se_bb.fq.gz,1000000,134,1000000,982648,17352,0,61311,0.0643231350392002,1.735,0.0,6.239,0.048,921337,92.134
bbmerge,gen_n1000000_l135_se_bb.fq.gz,1000000,135,1000000,983941,16059,0,63329,0.06635763729735827,1.606,0.0,6.436,0.049,920612,92.061
bbmerge,gen_n1000000_l136_se_bb.fq.gz,1000000,136,1000000,982182,17818,0,65448,0.06876118682688137,1.782,0.0,6.664,0.051,916734,91.673
bbmerge,gen_n1000000_l137_se_bb.fq.gz,1000000,137,1000000,982643,17357,0,67838,0.07133821744010796,1.736,0.0,6.904,0.052,914805,91.48
bbmerge,gen_n1000000_l138_se_bb.fq.gz,1000000,138,1000000,982845,17155,0,70066,0.0737623938667847,1.716,0.0,7.129,0.053,912779,91.278
bbmerge,gen_n1000000_l139_se_bb.fq.gz,1000000,139,1000000,981938,18062,0,71697,0.07563002959453652,1.806,0.0,7.302,0.054,910241,91.024
bbmerge,gen_n1000000_l13_se_bb.fq.gz,1000000,13,1000000,892015,107985,0,20,2.242114762644126e-05,10.799,0.0,0.002,0.0,891995,89.2
bbmerge,gen_n1000000_l140_se_bb.fq.gz,1000000,140,1000000,982700,17300,0,73584,0.07776941080696041,1.73,0.0,7.488,0.056,909116,90.912
bbmerge,gen_n1000000_l141_se_bb.fq.gz,1000000,141,1000000,981139,18861,0,75931,0.08033927914393374,1.886,0.0,7.739,0.057,905208,90.521
